rank,pnl_train,pnl_val,pnl_test,wr_train,wr_val,wr_test,trades_train,trades_val,trades_test,swing_window,range_window,range_width_min_pct,range_width_max_pct,signal_proximity_pct,momentum_lookback,momentum_threshold,trail_activation_pct,trail_pullback_pct,stop_loss_pct,signal_cooldown,volume_filter,candle_confirm,rsi_filter,range_end_exit,long_only
1,134.72,1.89,49.10,0.6111,0.3243,0.5429,90,37,35,10,48,3.0,10.0,2.0,10,5.0,3.5,0.5,1.5,8,False,False,False,True,True
2,140.35,7.64,44.60,0.6129,0.3500,0.5000,93,40,38,10,48,3.0,12.0,2.0,10,5.0,3.5,0.5,1.5,8,False,False,False,True,True
3,137.13,-2.93,44.20,0.6941,0.4286,0.6667,85,35,27,10,48,3.0,10.0,2.0,8,7.0,3.5,0.5,2.5,8,False,False,False,True,True
4,137.13,-2.93,44.20,0.6941,0.4286,0.6667,85,35,27,10,48,3.0,10.0,2.0,10,7.0,3.5,0.5,2.5,8,False,False,False,True,True
5,137.13,-2.93,44.20,0.6941,0.4286,0.6667,85,35,27,10,48,3.0,10.0,2.0,14,7.0,3.5,0.5,2.5,8,False,False,False,True,True
6,137.03,5.27,44.16,0.6087,0.3421,0.5143,92,38,35,10,48,3.0,10.0,2.0,8,7.0,3.5,0.5,1.5,8,False,False,False,True,True
7,137.03,5.27,44.16,0.6087,0.3421,0.5143,92,38,35,10,48,3.0,10.0,2.0,10,7.0,3.5,0.5,1.5,8,False,False,False,True,True
8,137.03,5.27,44.16,0.6087,0.3421,0.5143,92,38,35,10,48,3.0,10.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False,True,True
9,134.72,5.27,44.16,0.6111,0.3421,0.5143,90,38,35,10,48,3.0,10.0,2.0,8,5.0,3.5,0.5,1.5,8,False,False,False,True,True
10,137.87,4.11,41.70,0.7073,0.4722,0.6429,82,36,28,10,48,3.0,12.0,2.0,8,4.0,3.5,0.5,2.5,8,False,False,False,True,True
11,137.58,9.16,41.49,0.7024,0.4688,0.6800,84,32,25,10,48,3.0,10.0,2.0,8,7.0,3.5,0.5,2.5,14,False,False,False,True,True
12,137.58,9.16,41.49,0.7024,0.4688,0.6800,84,32,25,10,48,3.0,10.0,2.0,10,7.0,3.5,0.5,2.5,14,False,False,False,True,True
13,137.58,9.16,41.49,0.7024,0.4688,0.6800,84,32,25,10,48,3.0,10.0,2.0,14,7.0,3.5,0.5,2.5,14,False,False,False,True,True
14,138.33,8.28,41.49,0.7160,0.4839,0.6800,81,31,25,10,48,3.0,12.0,2.0,8,4.0,3.5,0.5,2.5,14,False,False,False,True,True
15,139.16,9.29,41.16,0.6222,0.3590,0.4865,90,39,37,10,48,3.0,12.0,2.0,8,4.0,3.5,0.5,1.5,8,False,False,False,True,True
16,142.66,11.02,39.66,0.6105,0.3659,0.4737,95,41,38,10,48,3.0,12.0,2.0,8,7.0,3.5,0.5,1.5,8,False,False,False,True,True
17,142.66,11.02,39.66,0.6105,0.3659,0.4737,95,41,38,10,48,3.0,12.0,2.0,10,7.0,3.5,0.5,1.5,8,False,False,False,True,True
18,142.66,11.02,39.66,0.6105,0.3659,0.4737,95,41,38,10,48,3.0,12.0,2.0,14,7.0,3.5,0.5,1.5,8,False,False,False,True,True
19,140.35,11.02,39.66,0.6129,0.3659,0.4737,93,41,38,10,48,3.0,12.0,2.0,8,5.0,3.5,0.5,1.5,8,False,False,False,True,True
20,137.53,9.29,36.99,0.7024,0.4848,0.6296,84,33,27,10,48,3.0,12.0,2.0,10,5.0,3.5,0.5,2.5,14,False,False,False,True,True
21,144.38,4.84,36.70,0.7011,0.4737,0.6000,87,38,30,10,48,3.0,12.0,2.0,8,7.0,3.5,0.5,2.5,8,False,False,False,True,True
22,144.38,4.84,36.70,0.7011,0.4737,0.6000,87,38,30,10,48,3.0,12.0,2.0,10,7.0,3.5,0.5,2.5,8,False,False,False,True,True
23,144.38,4.84,36.70,0.7011,0.4737,0.6000,87,38,30,10,48,3.0,12.0,2.0,14,7.0,3.5,0.5,2.5,8,False,False,False,True,True
24,138.44,4.84,36.70,0.6739,0.4737,0.6000,92,38,30,10,48,1.5,12.0,2.0,8,7.0,3.5,0.5,2.5,8,False,False,False,True,True
25,138.44,4.84,36.70,0.6739,0.4737,0.6000,92,38,30,10,48,1.5,12.0,2.0,10,7.0,3.5,0.5,2.5,8,False,False,False,True,True
26,138.44,4.84,36.70,0.6739,0.4737,0.6000,92,38,30,10,48,1.5,12.0,2.0,14,7.0,3.5,0.5,2.5,8,False,False,False,True,True
27,138.44,4.84,36.70,0.6739,0.4737,0.6000,92,38,30,10,48,2.0,12.0,2.0,8,7.0,3.5,0.5,2.5,8,False,False,False,True,True
28,138.44,4.84,36.70,0.6739,0.4737,0.6000,92,38,30,10,48,2.0,12.0,2.0,10,7.0,3.5,0.5,2.5,8,False,False,False,True,True
29,138.44,4.84,36.70,0.6739,0.4737,0.6000,92,38,30,10,48,2.0,12.0,2.0,14,7.0,3.5,0.5,2.5,8,False,False,False,True,True
30,137.07,4.84,36.70,0.6941,0.4737,0.6000,85,38,30,10,48,3.0,12.0,2.0,8,5.0,3.5,0.5,2.5,8,False,False,False,True,True
31,136.40,4.84,36.70,0.6941,0.4737,0.6000,85,38,30,10,48,3.0,12.0,2.0,14,5.0,3.5,0.5,2.5,8,False,False,False,True,True
32,137.07,1.46,36.69,0.6941,0.4595,0.6000,85,37,30,10,48,3.0,12.0,2.0,10,5.0,3.5,0.5,2.5,8,False,False,False,True,True
33,136.20,12.67,36.49,0.7024,0.5000,0.6296,84,34,27,10,48,3.0,12.0,2.0,14,5.0,3.5,0.5,2.5,14,False,False,False,True,True
34,134.70,11.76,34.07,0.7037,0.5000,0.6071,81,32,28,10,48,3.0,12.0,2.0,8,7.0,3.5,0.5,2.5,20,False,False,False,True,True
35,134.70,11.76,34.07,0.7037,0.5000,0.6071,81,32,28,10,48,3.0,12.0,2.0,10,7.0,3.5,0.5,2.5,20,False,False,False,True,True
36,134.70,11.76,34.07,0.7037,0.5000,0.6071,81,32,28,10,48,3.0,12.0,2.0,14,7.0,3.5,0.5,2.5,20,False,False,False,True,True
37,144.84,12.67,33.99,0.7093,0.5000,0.6071,86,34,28,10,48,3.0,12.0,2.0,8,7.0,3.5,0.5,2.5,14,False,False,False,True,True
38,144.84,12.67,33.99,0.7093,0.5000,0.6071,86,34,28,10,48,3.0,12.0,2.0,10,7.0,3.5,0.5,2.5,14,False,False,False,True,True
39,144.84,12.67,33.99,0.7093,0.5000,0.6071,86,34,28,10,48,3.0,12.0,2.0,14,7.0,3.5,0.5,2.5,14,False,False,False,True,True
40,138.90,12.67,33.99,0.6813,0.5000,0.6071,91,34,28,10,48,1.5,12.0,2.0,8,7.0,3.5,0.5,2.5,14,False,False,False,True,True
41,138.90,12.67,33.99,0.6813,0.5000,0.6071,91,34,28,10,48,1.5,12.0,2.0,10,7.0,3.5,0.5,2.5,14,False,False,False,True,True
42,138.90,12.67,33.99,0.6813,0.5000,0.6071,91,34,28,10,48,1.5,12.0,2.0,14,7.0,3.5,0.5,2.5,14,False,False,False,True,True
43,138.90,12.67,33.99,0.6813,0.5000,0.6071,91,34,28,10,48,2.0,12.0,2.0,8,7.0,3.5,0.5,2.5,14,False,False,False,True,True
44,138.90,12.67,33.99,0.6813,0.5000,0.6071,91,34,28,10,48,2.0,12.0,2.0,10,7.0,3.5,0.5,2.5,14,False,False,False,True,True
45,138.90,12.67,33.99,0.6813,0.5000,0.6071,91,34,28,10,48,2.0,12.0,2.0,14,7.0,3.5,0.5,2.5,14,False,False,False,True,True
46,137.53,12.67,33.99,0.7024,0.5000,0.6071,84,34,28,10,48,3.0,12.0,2.0,8,5.0,3.5,0.5,2.5,14,False,False,False,True,True
47,136.30,11.02,32.44,0.6087,0.3659,0.4444,92,41,36,10,48,3.0,12.0,2.0,14,5.0,3.5,0.5,1.5,8,False,False,False,True,True
48,133.77,5.92,32.02,0.7449,0.5366,0.6410,98,41,39,10,48,3.0,12.0,2.0,8,7.0,2.5,0.5,2.5,8,False,False,False,True,True
49,134.10,17.96,5.08,0.7143,0.6000,0.4444,77,20,27,12,48,1.5,12.0,2.0,8,7.0,3.5,0.5,2.5,14,False,False,False,True,True
50,134.10,17.96,5.08,0.7143,0.6000,0.4444,77,20,27,12,48,1.5,12.0,2.0,10,7.0,3.5,0.5,2.5,14,False,False,False,True,True
