rank,sharpe_in,sharpe_out,win_rate_in,win_rate_out,pnl_in,pnl_out,trades_in,trades_out,swing_window,range_window,range_width_min_pct,range_width_max_pct,signal_proximity_pct,momentum_lookback,momentum_threshold,trail_activation_pct,trail_pullback_pct,stop_loss_pct,signal_cooldown,volume_filter,candle_confirm,rsi_filter
1,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,8,5.0,1.5,1.0,1.5,14,False,False,False
2,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,8,7.0,1.5,1.0,1.5,14,False,False,False
3,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,10,5.0,1.5,1.0,1.5,14,False,False,False
4,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,10,7.0,1.5,1.0,1.5,14,False,False,False
5,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,14,5.0,1.5,1.0,1.5,14,False,False,False
6,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,14,7.0,1.5,1.0,1.5,14,False,False,False
7,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,10,4.0,1.5,1.0,1.5,14,False,False,False
8,7.8551,2.0546,0.6727,0.4576,108.74,13.13,110,59,10,80,3.0,10.0,2.0,14,4.0,1.5,1.0,1.5,14,False,False,False
9,7.8551,1.9376,0.6727,0.4576,108.74,12.45,110,59,10,80,3.0,10.0,2.0,8,4.0,1.5,1.0,1.5,14,False,False,False
10,7.8551,1.9376,0.6727,0.4576,108.74,12.45,110,59,10,80,3.0,12.0,2.0,8,4.0,1.5,1.0,1.5,14,False,False,False
